target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-3_lefse,CHN_SH-CRC-3_MaAsLin,CHN_SH-CRC-3_Ancom,CHN_SH-CRC-4_lefse,CHN_SH-CRC-4_MaAsLin,CHN_SH-CRC-4_Ancom
CHN_WF-CRC,Phocaeicola_vulgatus,Blautia_wexlerae,Ruminococcus_bromii,Ruminococcus_bromii,Ruminococcus_bromii,Ruminococcus_bromii,Eubacterium_rectale,Clostridium_sp_AM49_4BH,,Alistipes_putredinis,Anaerostipes_hadrus,Alistipes_putredinis,Phocaeicola_vulgatus,Bacteroides_salyersiae,Phocaeicola_vulgatus,,,,Clostridiales_bacterium_KLE1615,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium,Enterococcus_faecium,Ruminococcus_lactaris,,Enterococcus_faecium,Ruminococcus_lactaris,,Alistipes_shahii,Lachnospiraceae_bacterium_AM48_27BH,Alistipes_shahii
,Ruminococcus_bromii,Blautia_massiliensis,Phocaeicola_vulgatus,Bifidobacterium_longum,Desulfovibrio_SGB5077,Bifidobacterium_longum,Blautia_wexlerae,Blautia_glucerasea,,Bacteroides_stercoris,Parasutterella_excrementihominis,Dorea_longicatena,Lachnospira_sp_NSJ_43,Bacteroides_clarus,Dorea_longicatena,,,,Lachnospiraceae_bacterium,GGB9453_SGB14844,Faecalicatena_fissicatena,GGB80011_SGB15267,Eubacterium_ventriosum,,GGB80011_SGB15267,Eubacterium_ventriosum,,Ruminococcus_sp_BSD2780120874_150323_B10,Streptococcus_salivarius,
,Phocaeicola_massiliensis,Faecalibacillus_intestinalis,Phocaeicola_massiliensis,Bifidobacterium_catenulatum,Eubacteriaceae_bacterium,,Phocaeicola_massiliensis,Alistipes_finegoldii,,Blautia_wexlerae,Blautia_SGB4815,Dorea_formicigenerans,Bacteroides_caccae,Dorea_longicatena,Bacteroides_caccae,,,,Faecalicatena_fissicatena,Faecalibacillus_intestinalis,Clostridiales_bacterium_KLE1615,GGB3277_SGB4327,Blautia_sp_Marseille_P3087,,GGB3277_SGB4327,Blautia_sp_Marseille_P3087,,Bifidobacterium_adolescentis,Alistipes_shahii,
,Eubacterium_rectale,Blautia_obeum,Dorea_longicatena,Bacteroides_intestinalis,Bifidobacterium_catenulatum,,Blautia_glucerasea,Phocaeicola_massiliensis,,Alistipes_shahii,Blautia_wexlerae,Blautia_wexlerae,Candidatus_Cibionibacter_quicibialis,Collinsella_SGB4121,,,,,Blautia_faecis,Faecalicatena_fissicatena,,Lachnospira_pectinoschiza,Clostridiales_bacterium_KLE1615,,Lachnospira_pectinoschiza,Clostridiales_bacterium_KLE1615,,Clostridium_sp_AF36_4,GGB9602_SGB15031,
,Bacteroides_stercoris,Anaerostipes_hadrus,Dorea_formicigenerans,Collinsella_SGB14861,Bifidobacterium_longum,,Ruminococcus_callidus,GGB3746_SGB5089,,Anaerostipes_hadrus,Butyricimonas_faecihominis,Parabacteroides_merdae,Dorea_longicatena,Bacteroides_cellulosilyticus,,,,,Bifidobacterium_pseudocatenulatum,Staphylococcus_SGB6340,,Ruminococcus_torques,Lachnospira_pectinoschiza,,Ruminococcus_torques,Lachnospira_pectinoschiza,,Bifidobacterium_longum,Hungatella_hathewayi,
,Alistipes_shahii,Streptococcus_thermophilus,Faecalibacillus_intestinalis,Negativibacillus_massiliensis,Ruminococcus_callidus,,Clostridium_sp_NSJ_42,Clostridium_sp_AF34_13,,Lachnospira_eligens,Dorea_formicigenerans,Clostridiaceae_bacterium,Bacteroides_salyersiae,Lachnospira_sp_NSJ_43,,,,,Staphylococcus_SGB6340,Eubacterium_sp_AF34_35BH,,Enterococcus_faecalis,Enterococcus_faecalis,,Enterococcus_faecalis,Enterococcus_faecalis,,Dorea_longicatena,Eubacterium_SGB6276,
,Blautia_wexlerae,Ruminococcus_sp_AF41_9,Blautia_wexlerae,Monoglobus_pectinilyticus,Clostridium_butyricum,,Alistipes_finegoldii,GGB14025_SGB14906,,GGB9713_SGB15249,Dorea_sp_AF36_15AT,Anaerostipes_hadrus,Blautia_obeum,Candidatus_Cibionibacter_quicibialis,,,,,Vescimonas_SGB15087,Dorea_formicigenerans,,Ruminococcus_lactaris,Holdemania_filiformis,,Ruminococcus_lactaris,Holdemania_filiformis,,Veillonella_parvula,Collinsella_SGB4121,
,Gemmiger_formicilis,Faecalicatena_fissicatena,Parabacteroides_merdae,Slackia_isoflavoniconvertens,GGB9593_SGB15015,,GGB3746_SGB5089,GGB9608_SGB15041,,Parabacteroides_merdae,Lachnospira_eligens,Anaerobutyricum_hallii,Clostridiaceae_bacterium_Marseille_Q4149,Clostridium_sp_AM42_4,,,,,Dorea_formicigenerans,Clostridiales_bacterium_KLE1615,,Eubacterium_ventriosum,Roseburia_inulinivorans,,Eubacterium_ventriosum,Roseburia_inulinivorans,,Parasutterella_SGB9260,GGB9760_SGB15373,
,Anaerostipes_hadrus,Dorea_formicigenerans,Streptococcus_thermophilus,Clostridium_butyricum,Monoglobus_pectinilyticus,,Bilophila_wadsworthia,Clostridium_sp_NSJ_42,,Blautia_massiliensis,Parabacteroides_merdae,Lachnospira_eligens,Odoribacter_splanchnicus,Bacteroides_caccae,,,,,Faecalibacillus_intestinalis,Blautia_faecis,,Clostridiales_bacterium_KLE1615,Parabacteroides_distasonis,,Clostridiales_bacterium_KLE1615,Parabacteroides_distasonis,,GGB9699_SGB15216,Veillonella_parvula,
,Bifidobacterium_pseudocatenulatum,Bifidobacterium_pseudocatenulatum,Blautia_faecis,,Citrobacter_freundii,,Clostridium_sp_AM49_4BH,Clostridiaceae_unclassified_SGB15090,,Dorea_longicatena,Blautia_faecis,Blautia_SGB4815,Bacteroides_clarus,Blautia_obeum,,,,,Barnesiella_intestinihominis,Coprococcus_SGB4669,,Ruminococcus_sp_AF41_9,Ruminococcus_torques,,Ruminococcus_sp_AF41_9,Ruminococcus_torques,,Clostridium_symbiosum,Coprobacter_secundus,
