,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_WF-CRC_lefse,CHN_WF-CRC_MaAsLin,CHN_WF-CRC_Ancom,CHN_SH-CRC-3_lefse,CHN_SH-CRC-3_MaAsLin,CHN_SH-CRC-3_Ancom,Feature
0,0,CHN_SH-CRC-2,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Eubacterium_rectale,Parabacteroides_distasonis,GGB3614_SGB4886,Parabacteroides_distasonis,Eubacterium_rectale,Alistipes_putredinis,Eubacterium_rectale,Prevotella_copri_clade_A,Evtepia_gabavorous,,Prevotella_copri_clade_A,Phascolarctobacterium_succinatutens,Phocaeicola_vulgatus,,,,Roseburia_intestinalis,Faecalibacillus_intestinalis,Faecalibacillus_intestinalis,Faecalibacterium_prausnitzii,Bacteroides_cellulosilyticus,Faecalibacterium_prausnitzii,Bacteroides_stercoris,Lawsonibacter_asaccharolyticus,Parabacteroides_distasonis,F
1,1,,Prevotella_copri_clade_A,Parabacteroides_distasonis,Phocaeicola_vulgatus,Lachnospira_eligens,Collinsella_SGB14861,,Blautia_wexlerae,Clostridium_SGB4648,Alistipes_putredinis,Akkermansia_muciniphila,Lachnospira_eligens,,Phocaeicola_vulgatus,Prevotella_copri_clade_A,Phascolarctobacterium_faecium,,,,Bacteroides_fragilis,Clostridium_sp_AF27_2AA,,Faecalibacterium_SGB15346,GGB3277_SGB4327,Bacteroides_ovatus,Klebsiella_pneumoniae,Clostridium_sp_AF27_2AA,,R
2,2,,GGB51647_SGB4348,Prevotella_copri_clade_A,Bacteroides_uniformis,Clostridiaceae_unclassified_SGB15090,Blautia_glucerasea,,Oscillibacter_sp_ER4,Odoribacter_splanchnicus,Blautia_wexlerae,Bacteroides_stercoris,Akkermansia_muciniphila,,Ruminococcus_gnavus,Eubacterium_SGB6276,Flavonifractor_plautii,,,,Bacteroides_xylanisolvens,Clostridium_sp_AF20_17LB,,GGB9758_SGB15368,Faecalibacterium_prausnitzii,Faecalibacterium_SGB15346,Parabacteroides_distasonis,Parabacteroides_distasonis,,-
3,3,,Bacteroides_uniformis,Bacteroides_ovatus,Clostridium_sp_AM49_4BH,GGB9708_SGB15234,Blautia_luti,,Alistipes_putredinis,Blautia_wexlerae,Oscillibacter_sp_ER4,GGB1495_SGB2071,GGB9512_SGB14909,,Phascolarctobacterium_succinatutens,Butyricicoccus_sp_AM29_23AC,Phascolarctobacterium_succinatutens,,,,GGB9453_SGB14845,GGB3612_SGB4882,,Bacteroides_ovatus,Firmicutes_bacterium_AF16_15,,Parasutterella_excrementihominis,Holdemania_filiformis,,C
4,4,,Parabacteroides_distasonis,Phascolarctobacterium_faecium,Parabacteroides_distasonis,Blautia_luti,Romboutsia_timonensis,,GGB1495_SGB2071,Haemophilus_parainfluenzae,,Blautia_massiliensis,Dorea_formicigenerans,,Bacteroides_ovatus,GGB14025_SGB14906,Ruminococcus_gnavus,,,,GGB3612_SGB4882,Staphylococcus_SGB6340,,Bacteroides_cellulosilyticus,Bacteroides_ovatus,,Veillonella_parvula,Ruminococcus_lactaris,,_
5,5,,Bacteroides_ovatus,Blautia_producta,Coprococcus_comes,Romboutsia_timonensis,GGB9627_SGB15081,,Streptococcus_thermophilus,Parasutterella_excrementihominis,,Blautia_faecis,Bacteroides_stercoris,,Phascolarctobacterium_faecium,GGB4578_SGB6328,,,,,Faecalibacillus_intestinalis,GGB2653_SGB3574,,GGB3277_SGB4327,Blautia_sp_Marseille_P3087,,Holdemanella_biformis,Parasutterella_excrementihominis,,l
6,6,,Ruminococcus_sp_BSD2780120874_150323_B10,Senegalimassilia_anaerobia,Bacteroides_ovatus,Collinsella_SGB14861,Clostridium_SGB6179,,Anaerobutyricum_soehngenii,Oscillospiraceae_bacterium_Marseille_Q3528,,Dorea_formicigenerans,Blautia_faecis,,Alistipes_putredinis,GGB9619_SGB15067,,,,,Clostridium_sp_AF20_17LB,Hydrogenoanaerobacterium_saccharovorans,,Clostridiaceae_bacterium_Marseille_Q4149,Clostridiaceae_bacterium_Marseille_Q4149,,Clostridiaceae_bacterium_Marseille_Q3526,Holdemanella_biformis,,e
7,7,,Candidatus_Cibionibacter_quicibialis,Bacteroides_stercoris,Phascolarctobacterium_faecium,Blautia_caecimuris,,,Clostridium_SGB4648,Oscillibacter_sp_ER4,,Clostridiaceae_bacterium,Clostridium_fessum,,Eubacterium_rectale,Ruminococcus_gnavus,,,,,Vescimonas_SGB15087,GGB9619_SGB15067,,Parasutterella_excrementihominis,Faecalibacterium_SGB15346,,Ruminococcus_lactaris,Veillonella_parvula,,f
8,8,,Lachnospira_pectinoschiza,Clostridium_sp_AF27_2AA,Candidatus_Cibionibacter_quicibialis,Blautia_glucerasea,,,Odoribacter_splanchnicus,Desulfovibrio_SGB5076,,Lachnospira_eligens,Blautia_SGB4815,,Faecalibacterium_SGB15346,Vescimonas_coprocola,,,,,Staphylococcus_SGB6340,GGB9453_SGB14845,,Firmicutes_bacterium_AF16_15,Clostridiaceae_bacterium_Marseille_Q4145,,Lawsonibacter_asaccharolyticus,Klebsiella_pneumoniae,,s
9,9,,Bacteroides_thetaiotaomicron,Bacteroides_fragilis,Fusicatenibacter_saccharivorans,GGB3614_SGB4886,,,GGB9627_SGB15081,GGB9627_SGB15081,,Alistipes_dispar,Blautia_massiliensis,,Paraprevotella_clara,Phascolarctobacterium_faecium,,,,,Dysosmobacter_sp_BX15,Eubacterium_sp_AF34_35BH,,Parabacteroides_goldsteinii,Desulfovibrio_SGB5076,,Veillonella_tobetsuensis,GGB3277_SGB4327,,M
